accessionVersion	clade	outbreak	lineage	outbreakLineage	sampleCollectionDate	geoLocCountry	geoLocAdmin1	authors	authorAffiliations	hostNameScientific	length	earliestReleaseDate	submissionId	groupName	dataUseTerms	dataUseTermsUrl	biosampleAccession	completeness	geoLocAdmin2	geoLocCity	insdcAccessionFull	insdcRawReadsAccession	isLabHost	specimenCollectorSampleId	totalAmbiguousNucs	totalUnknownNucs
PP_0010JEM.1	Ib	sh2023	A	sh2023/A	2024-10-27	United Kingdom		Nettlemill, A.; Wandre, A.; Everall, I.; Hartman, H.; Wise, E.; Pullan, S.; Newling, K.; GutierrezVasquez, Y.; Ribeca, P.; Schaefer, U.; Chand, M.; Armstrong, G.; Myers, R.; Groves, N.	UKHSA, Research and Evaluation	Homo sapiens	195330	2024-11-21	PQ628240.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9962374942320077			PQ628240.1			MPXV_UK_2024_0072	0	678
PP_0010K8Y.2	Ib	sh2023	A	sh2023/A	2024-11	USA	CA	Gigante, C. M.; Deng, J.; Takakuwa, J.; Wilkins, K.; Davidson, W.; McGrath, D.; Haw, M.; Kath, C.; Espinosa, A.; Berumen, R. III; Hacker, J.; Wadford, D.; Hsieh, K.; Yuen, W.; Mahiya, M.; Grajeda, S.; Branzuela, A. M.; Levy, V.; Minhaj, F.; Team, C. T.; Oamd, C.; Hutson, C.	CDC, DHCPP-PRB	Homo sapiens	195364	2024-12-02	PQ662929.2	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			PQ662929.2			MPXV_USA_2024_CA0100	0	0
PP_0010NBP.1	Ib	sh2023	A.4	sh2023/A.4	2024-11-28	United Kingdom		Everall, I.; Groves, N.; Nettlemill, A.; Wandre, A.; Hartman, H.; Wise, E.; Pullan, S.; Myers, R.; Chand, M.	UKHSA, Research and Evaluation	Homo sapiens	186229	2024-12-13	PQ762586.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9353274951954526			PQ762586.1			MPXV_UK_2024_0013	0	3312
PP_00111X1.1	Ib	sh2023	A.2	sh2023/A.2	2025-01-01/2025-01-23	USA	GA	Gigante, C.; Feldpausch, A.; Minhaj, F.; Deng, J.; Takakuwa, J.; Zecca, I.; Wilkins, K.; Davidson, W.; Team, C. T. D.; Oamd, C.; Pillai, S.; Hutson, C.	CDC, DHCPP-PRB	Homo sapiens	195536	2025-01-23	PV002568.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9997058957755478			PV002568.1			MPXV_USA_2024_GA0100	4	54
PP_00116S6.1	Ib	sh2023	A.4	sh2023/A.4	2025-01-06	Thailand		Nitiyanontakij, R.; Reawrang, S.; Kaewsawang, P.; Suwanwattana, P.; Prasithsirikul, W.; Sunchatawirul, K.	Bamrasnaradura infectious diseases institute, Department of Disease Control	Homo sapiens	195645	2025-01-27	PQ963869.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9999391508501133			PQ963869.1			hMpxV/Thailand/DDCBIDI-001/2025	0	0
PP_0012TNR.1	Ib	sh2023	A.1	sh2023/A.1	2024-08-19	Democratic Republic of the Congo	Kinshasa	Wawina-Bokalanga, Tony; Merritt, Sydney; Kinganda-Lusamaki, Eddy; Jansen, Daan; Halbrook, Megan; OToole, Aine; Pukuta-Simbu, Elisabeth; Muyamuna, Elise; Hasivirwe Vakaniaki, Emmanuel; Ola-Mpumbe, Rilia; Kwete-Mbokama, Papy; Akil-Bandali, Prince; Kacita, Cris; Ponga-Museme, Ange; Mapenzi-Kashali, Nelson; Amuri-Aziza, Adrienne; Muyembe-Mawete, Francisca; Lumembe-Numbi, Raphael; Kabamba-Lungenyi, Gabriel; Tshiani-Mbaya, Olivier; Paku-Tshambu, Princesse; Dantas, Pedro Hlf; DeBlock, Tessa; Lokilo-Lofiko, Emmanuel; Muswamba-Kayembe, Chloe; Makangara-Cigolo, Jean-Claude; Luakanda-Ndelemo, Gradi; Kelvin, David J.; Pratt, Catherine; Ayouba, Ahidjo; Tessema, Sofonias; Mauro, Antonio R.; Hensley, Lisa E.; Delaporte, Eric; Mwamba, Dieudonne; Subissi, Lorenzo; Liesenborghs, Laurens; Hoff, Nicole A.; Peeters, Martine; Low, Nicola; Ahuka-Mundeke, Steve; Muyembe-Tamfum, Jean-Jacques; Rimoin, Anne W.; Kindrachuk, Jason; Vercauteren, Koen; Rambaut, Andrew; Mbala-Kingebeni, Placide		Homo sapiens	188039	2025-02-04	24MPX2129C	Pathogen Genomic Lab	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118207688	0.8393126074367803			OZ254403.1			24MPX2129C	9	23042
PP_0012TQM.1	Ib	sh2023	A.1	sh2023/A.1	2024-08-20	Democratic Republic of the Congo	Kinshasa	Wawina-Bokalanga, Tony; Merritt, Sydney; Kinganda-Lusamaki, Eddy; Jansen, Daan; Halbrook, Megan; OToole, Aine; Pukuta-Simbu, Elisabeth; Muyamuna, Elise; Hasivirwe Vakaniaki, Emmanuel; Ola-Mpumbe, Rilia; Kwete-Mbokama, Papy; Akil-Bandali, Prince; Kacita, Cris; Ponga-Museme, Ange; Mapenzi-Kashali, Nelson; Amuri-Aziza, Adrienne; Muyembe-Mawete, Francisca; Lumembe-Numbi, Raphael; Kabamba-Lungenyi, Gabriel; Tshiani-Mbaya, Olivier; Paku-Tshambu, Princesse; Dantas, Pedro Hlf; DeBlock, Tessa; Lokilo-Lofiko, Emmanuel; Muswamba-Kayembe, Chloe; Makangara-Cigolo, Jean-Claude; Luakanda-Ndelemo, Gradi; Kelvin, David J.; Pratt, Catherine; Ayouba, Ahidjo; Tessema, Sofonias; Mauro, Antonio R.; Hensley, Lisa E.; Delaporte, Eric; Mwamba, Dieudonne; Subissi, Lorenzo; Liesenborghs, Laurens; Hoff, Nicole A.; Peeters, Martine; Low, Nicola; Ahuka-Mundeke, Steve; Muyembe-Tamfum, Jean-Jacques; Rimoin, Anne W.; Kindrachuk, Jason; Vercauteren, Koen; Rambaut, Andrew; Mbala-Kingebeni, Placide		Homo sapiens	193156	2025-02-04	24MPX2134V	Pathogen Genomic Lab	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118207690	0.8888640984944907			OZ254320.1			24MPX2134V	9	18377
PP_0012TRK.1	Ib	sh2023	A.1	sh2023/A.1	2024-08-20	Democratic Republic of the Congo	Kinshasa	Wawina-Bokalanga, Tony; Merritt, Sydney; Kinganda-Lusamaki, Eddy; Jansen, Daan; Halbrook, Megan; OToole, Aine; Pukuta-Simbu, Elisabeth; Muyamuna, Elise; Hasivirwe Vakaniaki, Emmanuel; Ola-Mpumbe, Rilia; Kwete-Mbokama, Papy; Akil-Bandali, Prince; Kacita, Cris; Ponga-Museme, Ange; Mapenzi-Kashali, Nelson; Amuri-Aziza, Adrienne; Muyembe-Mawete, Francisca; Lumembe-Numbi, Raphael; Kabamba-Lungenyi, Gabriel; Tshiani-Mbaya, Olivier; Paku-Tshambu, Princesse; Dantas, Pedro Hlf; DeBlock, Tessa; Lokilo-Lofiko, Emmanuel; Muswamba-Kayembe, Chloe; Makangara-Cigolo, Jean-Claude; Luakanda-Ndelemo, Gradi; Kelvin, David J.; Pratt, Catherine; Ayouba, Ahidjo; Tessema, Sofonias; Mauro, Antonio R.; Hensley, Lisa E.; Delaporte, Eric; Mwamba, Dieudonne; Subissi, Lorenzo; Liesenborghs, Laurens; Hoff, Nicole A.; Peeters, Martine; Low, Nicola; Ahuka-Mundeke, Steve; Muyembe-Tamfum, Jean-Jacques; Rimoin, Anne W.; Kindrachuk, Jason; Vercauteren, Koen; Rambaut, Andrew; Mbala-Kingebeni, Placide		Homo sapiens	194589	2025-02-04	24MPX2136C	Pathogen Genomic Lab	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118207691	0.9004355784979388			OZ254463.1			24MPX2136C	12	17526
PP_0012UBD.1	Ib	sh2023	A.1	sh2023/A.1	2024-08-15	Democratic Republic of the Congo	Kasai	Kinganda-Lusamaki, Eddy; Amuri-Aziza, Adrienne; Luakanda-Ndelemo, Gradi; Makangara-Cigolo, Jean-Claude; Kenye, Michel; Kavira, Sifa; Wawina-Bokalanga, Tony; Merritt, Sydney; Jansen, Daan; Halbrook, Megan; OToole, Aine; Pukuta-Simbu, Elisabeth; Hasivirwe Vakaniaki, Emmanuel; Ola-Mpumbe, Rilia; Kwete-Mbokama, Papy; Akil-Bandali, Prince; Kacita, Cris; Ponga-Museme, Ange; Mapenzi-Kashali, Nelson; Tshiani-Mbaya, Olivier; Paku-Tshambu, Princesse; Dantas, Pedro H. L. F.; De Block, Tessa; Lokilo-Lofiko, Emmanuel; Muswamba-Kayembe, Chloe; Kelvin, David J.; Pratt, Catherine; Ayouba, Ahidjo; Tessema, Sofonias; Mauro Rezende, Antonio; Hensley, Lisa E.; Delaporte, Eric; Mwamba, Dieudonne; Subissi, Lorenzo; Liesenborghs, Laurens; Hoff, Nicole A.; Peeters, Martine; Low, Nicola; Ahuka-Mundeke, Steve; Muyembe-Tamfum, Jean-Jacques; Rimoin, Anne W.; Kindrachuk, Jason; Vercauteren, Koen; Rambaut, Andrew; Mbala-Kingebeni, Placide		Homo sapiens	195421	2025-02-04	24MPX2296S	Pathogen Genomic Lab	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118207711	0.9453473218767906			OZ254302.1			24MPX2296S	14	9493
PP_0012UJY.1	Ib	sh2023	A.1	sh2023/A.1	2024-08-30	Democratic Republic of the Congo	Kinshasa	Wawina-Bokalanga, Tony; Merritt, Sydney; Kinganda-Lusamaki, Eddy; Jansen, Daan; Halbrook, Megan; OToole, Aine; Pukuta-Simbu, Elisabeth; Muyamuna, Elise; Hasivirwe Vakaniaki, Emmanuel; Ola-Mpumbe, Rilia; Kwete-Mbokama, Papy; Akil-Bandali, Prince; Kacita, Cris; Ponga-Museme, Ange; Mapenzi-Kashali, Nelson; Amuri-Aziza, Adrienne; Muyembe-Mawete, Francisca; Lumembe-Numbi, Raphael; Kabamba-Lungenyi, Gabriel; Tshiani-Mbaya, Olivier; Paku-Tshambu, Princesse; Dantas, Pedro Hlf; DeBlock, Tessa; Lokilo-Lofiko, Emmanuel; Muswamba-Kayembe, Chloe; Makangara-Cigolo, Jean-Claude; Luakanda-Ndelemo, Gradi; Kelvin, David J.; Pratt, Catherine; Ayouba, Ahidjo; Tessema, Sofonias; Mauro, Antonio R.; Hensley, Lisa E.; Delaporte, Eric; Mwamba, Dieudonne; Subissi, Lorenzo; Liesenborghs, Laurens; Hoff, Nicole A.; Peeters, Martine; Low, Nicola; Ahuka-Mundeke, Steve; Muyembe-Tamfum, Jean-Jacques; Rimoin, Anne W.; Kindrachuk, Jason; Vercauteren, Koen; Rambaut, Andrew; Mbala-Kingebeni, Placide		Homo sapiens	196615	2025-02-04	24MPX2497V	Pathogen Genomic Lab	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118207718	0.9972212221551755			OZ254398.1			24MPX2497V	20	528
PP_0012URJ.1	Ib	sh2023	A.1	sh2023/A.1	2024-08-30	Democratic Republic of the Congo	Kinshasa	Wawina-Bokalanga, Tony; Merritt, Sydney; Kinganda-Lusamaki, Eddy; Jansen, Daan; Halbrook, Megan; OToole, Aine; Pukuta-Simbu, Elisabeth; Muyamuna, Elise; Hasivirwe Vakaniaki, Emmanuel; Ola-Mpumbe, Rilia; Kwete-Mbokama, Papy; Akil-Bandali, Prince; Kacita, Cris; Ponga-Museme, Ange; Mapenzi-Kashali, Nelson; Amuri-Aziza, Adrienne; Muyembe-Mawete, Francisca; Lumembe-Numbi, Raphael; Kabamba-Lungenyi, Gabriel; Tshiani-Mbaya, Olivier; Paku-Tshambu, Princesse; Dantas, Pedro Hlf; DeBlock, Tessa; Lokilo-Lofiko, Emmanuel; Muswamba-Kayembe, Chloe; Makangara-Cigolo, Jean-Claude; Luakanda-Ndelemo, Gradi; Kelvin, David J.; Pratt, Catherine; Ayouba, Ahidjo; Tessema, Sofonias; Mauro, Antonio R.; Hensley, Lisa E.; Delaporte, Eric; Mwamba, Dieudonne; Subissi, Lorenzo; Liesenborghs, Laurens; Hoff, Nicole A.; Peeters, Martine; Low, Nicola; Ahuka-Mundeke, Steve; Muyembe-Tamfum, Jean-Jacques; Rimoin, Anne W.; Kindrachuk, Jason; Vercauteren, Koen; Rambaut, Andrew; Mbala-Kingebeni, Placide		Homo sapiens	196520	2025-02-04	24MPX2537V	Pathogen Genomic Lab	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118207725	0.8872008883975884			OZ254350.1			24MPX2537V	4	22084
PP_0012UY4.1	Ib	sh2023	A.1	sh2023/A.1	2024-08-31	Democratic Republic of the Congo	Kinshasa	Wawina-Bokalanga, Tony; Merritt, Sydney; Kinganda-Lusamaki, Eddy; Jansen, Daan; Halbrook, Megan; OToole, Aine; Pukuta-Simbu, Elisabeth; Muyamuna, Elise; Hasivirwe Vakaniaki, Emmanuel; Ola-Mpumbe, Rilia; Kwete-Mbokama, Papy; Akil-Bandali, Prince; Kacita, Cris; Ponga-Museme, Ange; Mapenzi-Kashali, Nelson; Amuri-Aziza, Adrienne; Muyembe-Mawete, Francisca; Lumembe-Numbi, Raphael; Kabamba-Lungenyi, Gabriel; Tshiani-Mbaya, Olivier; Paku-Tshambu, Princesse; Dantas, Pedro Hlf; DeBlock, Tessa; Lokilo-Lofiko, Emmanuel; Muswamba-Kayembe, Chloe; Makangara-Cigolo, Jean-Claude; Luakanda-Ndelemo, Gradi; Kelvin, David J.; Pratt, Catherine; Ayouba, Ahidjo; Tessema, Sofonias; Mauro, Antonio R.; Hensley, Lisa E.; Delaporte, Eric; Mwamba, Dieudonne; Subissi, Lorenzo; Liesenborghs, Laurens; Hoff, Nicole A.; Peeters, Martine; Low, Nicola; Ahuka-Mundeke, Steve; Muyembe-Tamfum, Jean-Jacques; Rimoin, Anne W.; Kindrachuk, Jason; Vercauteren, Koen; Rambaut, Andrew; Mbala-Kingebeni, Placide		Homo sapiens	196539	2025-02-04	24MPX2560C	Pathogen Genomic Lab	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118207731	0.9487498035079535			OZ254274.1			24MPX2560C	3	9969
PP_0012V4S.1	Ib	sh2023	A.1	sh2023/A.1	2024-08-31	Democratic Republic of the Congo	Kinshasa	Wawina-Bokalanga, Tony; Merritt, Sydney; Kinganda-Lusamaki, Eddy; Jansen, Daan; Halbrook, Megan; OToole, Aine; Pukuta-Simbu, Elisabeth; Muyamuna, Elise; Hasivirwe Vakaniaki, Emmanuel; Ola-Mpumbe, Rilia; Kwete-Mbokama, Papy; Akil-Bandali, Prince; Kacita, Cris; Ponga-Museme, Ange; Mapenzi-Kashali, Nelson; Amuri-Aziza, Adrienne; Muyembe-Mawete, Francisca; Lumembe-Numbi, Raphael; Kabamba-Lungenyi, Gabriel; Tshiani-Mbaya, Olivier; Paku-Tshambu, Princesse; Dantas, Pedro Hlf; DeBlock, Tessa; Lokilo-Lofiko, Emmanuel; Muswamba-Kayembe, Chloe; Makangara-Cigolo, Jean-Claude; Luakanda-Ndelemo, Gradi; Kelvin, David J.; Pratt, Catherine; Ayouba, Ahidjo; Tessema, Sofonias; Mauro, Antonio R.; Hensley, Lisa E.; Delaporte, Eric; Mwamba, Dieudonne; Subissi, Lorenzo; Liesenborghs, Laurens; Hoff, Nicole A.; Peeters, Martine; Low, Nicola; Ahuka-Mundeke, Steve; Muyembe-Tamfum, Jean-Jacques; Rimoin, Anne W.; Kindrachuk, Jason; Vercauteren, Koen; Rambaut, Andrew; Mbala-Kingebeni, Placide		Homo sapiens	196658	2025-02-04	24MPX2588V	Pathogen Genomic Lab	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118207737	0.9951472802965382			OZ254271.1			24MPX2588V	0	957
