Accession	BioProjects	BioSample accession	Completeness	Gene count	Geographic Location	Geographic Region	Geographic State	Host Common Name	Host Infraspecific Names Breed	Host Infraspecific Names Cultivar	Host Infraspecific Names Ecotype	Host Infraspecific Names Isolate	Host Infraspecific Names Sex	Host Infraspecific Names Strain	Host Name	Host Pangolin Classification	Host Taxonomic ID	Is Annotated	Is Complete	Is Lab Host	Is Vaccine Strain	Isolate Collection date	Isolate Lineage	Isolate Lineage source	Lab Host	Length	Mature peptide count	Molecule type	Nucleotide completeness	Protein count	Purpose of Sampling	Release date	Segment	Source database	SRA Accessions	Submitter Affiliation	Submitter Country	Submitter Names	Update date	Virus Common Name	Virus Infraspecific Names Breed	Virus Infraspecific Names Cultivar	Virus Infraspecific Names Ecotype	Virus Infraspecific Names Isolate	Virus Infraspecific Names Sex	Virus Infraspecific Names Strain	Virus Name	Virus Pangolin Classification	Virus Taxonomic ID
A94875.1			PARTIAL																				ELLEN			39						2000-01-26T00:00:00Z		GenBank				Glicklhorn,D.,Eickmann,M.D.	2000-01-26T00:00:00Z								Human alphaherpesvirus 3		10335
A94876.1			PARTIAL																				ELLEN			33						2000-01-26T00:00:00Z		GenBank				Glicklhorn,D.,Eickmann,M.D.	2000-01-26T00:00:00Z								Human alphaherpesvirus 3		10335
A94878.1			PARTIAL																				ELLEN			705						2000-01-26T00:00:00Z		GenBank				Giesendorf,B.D.,Eickmann,M.D.	2000-01-26T00:00:00Z								Human alphaherpesvirus 3		10335
A94879.1			PARTIAL																				ELLEN			37						2000-01-26T00:00:00Z		GenBank				Giesendorf,B.D.,Eickmann,M.D.	2000-01-26T00:00:00Z								Human alphaherpesvirus 3		10335
A94880.1			PARTIAL																				ELLEN			38						2000-01-26T00:00:00Z		GenBank				Giesendorf,B.D.,Eickmann,M.D.	2000-01-26T00:00:00Z								Human alphaherpesvirus 3		10335
A94881.1			PARTIAL																				ELLEN			34						2000-01-26T00:00:00Z		GenBank				Giesendorf,B.D.,Eickmann,M.D.	2000-01-26T00:00:00Z								Human alphaherpesvirus 3		10335
A94882.1			PARTIAL																				ELLEN			38						2000-01-26T00:00:00Z		GenBank				Giesendorf,B.D.,Eickmann,M.D.	2000-01-26T00:00:00Z								Human alphaherpesvirus 3		10335
A94883.1			PARTIAL																				ELLEN			27						2000-01-26T00:00:00Z		GenBank				Giesendorf,B.D.,Eickmann,M.D.	2000-01-26T00:00:00Z								Human alphaherpesvirus 3		10335
A94884.1			PARTIAL																				ELLEN			38						2000-01-26T00:00:00Z		GenBank				Giesendorf,B.D.,Eickmann,M.D.	2000-01-26T00:00:00Z								Human alphaherpesvirus 3		10335
AB009251.2			PARTIAL	1														true					YSR			513				1		1997-12-05T00:00:00Z		GenBank		Department of Microbiology; 4-5 Nishikagura, Asahikawa, Hokkaido 078-8510	Japan	Lacey,S.F.,Suzutani,T.,Powell,K.L.,Purifoy,D.J.,Honess,R.W.	2009-06-17T00:00:00Z								Human alphaherpesvirus 3		10335
AB009252.2			PARTIAL	1														true					9883			1026				1		1997-12-05T00:00:00Z		GenBank		Department of Microbiology; 4-5 Nishikagura, Asahikawa, Hokkaido 078-8510	Japan	Lacey,S.F.,Suzutani,T.,Powell,K.L.,Purifoy,D.J.,Honess,R.W.	2009-06-17T00:00:00Z								Human alphaherpesvirus 3		10335
AB009253.2			PARTIAL	1														true					YS			1026				1		1997-12-05T00:00:00Z		GenBank		Department of Microbiology; 4-5 Nishikagura, Asahikawa, Hokkaido 078-8510	Japan	Lacey,S.F.,Suzutani,T.,Powell,K.L.,Purifoy,D.J.,Honess,R.W.	2009-06-17T00:00:00Z								Human alphaherpesvirus 3		10335
AB059828.1			PARTIAL	1	Japan: Osaka	Asia									Homo sapiens		9606	true		true			Kawaguchi parent		Homo sapiens embryonic fibroblast	3585				1		2001-04-14T00:00:00Z		GenBank		Department of Virology; 2630 Sugitani, Toyama, Toyama 930-0194	Japan	Kamiyama,T.,Kurokawa,M.,Shiraki,K.	2009-02-14T00:00:00Z								Human alphaherpesvirus 3		10335
AB059829.1			PARTIAL	1	Japan: Osaka	Asia									Homo sapiens		9606	true		true			Kawaguchi A6		Homo sapiens embryonic fibroblast	3585				1		2001-04-14T00:00:00Z		GenBank		Department of Virology; 2630 Sugitani, Toyama, Toyama 930-0194	Japan	Kamiyama,T.,Kurokawa,M.,Shiraki,K.	2009-02-14T00:00:00Z								Human alphaherpesvirus 3		10335
AB059830.1			PARTIAL	1	Japan: Osaka	Asia									Homo sapiens		9606	true		true			Kawaguchi A1		Homo sapiens embryonic fibroblast	3585				1		2001-04-14T00:00:00Z		GenBank		Department of Virology; 2630 Sugitani, Toyama, Toyama 930-0194	Japan	Kamiyama,T.,Kurokawa,M.,Shiraki,K.	2009-02-14T00:00:00Z								Human alphaherpesvirus 3		10335
AB059831.1			PARTIAL	1	Japan: Osaka	Asia									Homo sapiens		9606	true		true			Kawaguchi A2		Homo sapiens embryonic fibroblast	3585				1		2001-04-14T00:00:00Z		GenBank		Department of Virology; 2630 Sugitani, Toyama, Toyama 930-0194	Japan	Kamiyama,T.,Kurokawa,M.,Shiraki,K.	2009-02-14T00:00:00Z								Human alphaherpesvirus 3		10335
AB097932.1			COMPLETE	1														true					Oka			125078				1		2002-12-13T00:00:00Z		GenBank		the research foundation for microbial diseases of Osaka university, research division; 2-9-41 Yahata-cho, Kanonji-city, Kagawa 768-0062	Japan	Gomi,Y.,Sunamachi,H.,Mori,Y.,Nagaike,K.,Takahashi,M.,Yamanishi,K.	2009-08-14T00:00:00Z								Human alphaherpesvirus 3		10335
AB097933.1			COMPLETE	1														true					Oka			125125				1		2002-12-13T00:00:00Z		GenBank		the research foundation for microbial diseases of Osaka university, research division; 2-9-41 Yahata-cho, Kanonji-city, Kagawa 768-0062	Japan	Gomi,Y.,Sunamachi,H.,Mori,Y.,Nagaike,K.,Takahashi,M.,Yamanishi,K.	2009-08-14T00:00:00Z								Human alphaherpesvirus 3		10335
AB497598.1			PARTIAL	1	Japan	Asia												true								4161				1		2009-04-18T00:00:00Z		GenBank		Research Group; Yahata, 2-9-48, Kanonji, Kagawa 7680061	Japan	Otsuka,T.,Gomi,Y.,Inoue,N.,Uchiyama,M.	2009-10-02T00:00:00Z								Human alphaherpesvirus 3		10335
AF162437.1			PARTIAL	1														true					WStr			1026				1		1999-08-15T00:00:00Z		GenBank		Domaine Rockefeller, Lab Virology	France	Morfin,F.,Thouvenot,D.,De Turenne-Tessier,M.,Lina,B.,Aymard,M.,Ooka,T.	2000-07-10T00:00:00Z								Human alphaherpesvirus 3		10335
AF162438.1			PARTIAL	1														true					LYON6625			1024						1999-08-15T00:00:00Z		GenBank		Domaine Rockefeller, Lab Virology	France	Morfin,F.,Thouvenot,D.,De Turenne-Tessier,M.,Lina,B.,Aymard,M.,Ooka,T.	2000-07-10T00:00:00Z								Human alphaherpesvirus 3		10335
AF162439.1			PARTIAL	1														true					WMad			1027						1999-08-15T00:00:00Z		GenBank		Domaine Rockefeller, Lab Virology	France	Morfin,F.,Thouvenot,D.,De Turenne-Tessier,M.,Lina,B.,Aymard,M.,Ooka,T.	2000-07-10T00:00:00Z								Human alphaherpesvirus 3		10335
AF162440.1			PARTIAL	1														true					SW689			1026				1		1999-08-15T00:00:00Z		GenBank		Domaine Rockefeller, Lab Virology	France	Morfin,F.,Thouvenot,D.,De Turenne-Tessier,M.,Lina,B.,Aymard,M.,Ooka,T.	2000-07-10T00:00:00Z								Human alphaherpesvirus 3		10335
AF206304.1			PARTIAL	20														true								34718				20		2000-04-02T00:00:00Z		GenBank		FDA/CBER, Division of Viral Products	USA	Argaw,T.,Cohen,J.I.,Klutch,M.,Lekstrom,K.,Yoshikawa,T.,Asano,Y.,Krause,P.R.	2000-04-02T00:00:00Z								Human alphaherpesvirus 3		10335
AF272391.1			PARTIAL	1														true					Ellen			725				1		2000-11-05T00:00:00Z		GenBank		Columbia University, Pediatrics	USA	Kemble,G.W.,Annunziato,P.,Lungu,O.,Winter,R.E.,Cha,T.A.,Silverstein,S.J.,Spaete,R.R.,Zhang,J.H.	2016-07-14T00:00:00Z								Human alphaherpesvirus 3		10335
AF272392.1			PARTIAL	1														true					Oka-SK			1013				1		2000-11-05T00:00:00Z		GenBank		Columbia University, Pediatrics	USA	Kemble,G.W.,Annunziato,P.,Lungu,O.,Winter,R.E.,Cha,T.A.,Silverstein,S.J.,Spaete,R.R.,Zhang,J.H.	2000-11-15T00:00:00Z								Human alphaherpesvirus 3		10335
AH002362.2			PARTIAL																							2103						1990-03-15T00:00:00Z		GenBank				Davison,A.J.	2016-08-25T00:00:00Z								Human alphaherpesvirus 3		10335
AH009994.2			PARTIAL	9														true					VZV-Ellen			18149				9		2000-11-21T00:00:00Z		GenBank		University of Iowa, Department of Microbiology	USA	Grose,C.,Faga,B.	2016-06-10T00:00:00Z								Human alphaherpesvirus 3		10335
AH010213.2			PARTIAL	9														true					VZV-VSD			17928				9		2001-01-16T00:00:00Z		GenBank		University of Iowa, Department of Microbiology	USA	Faga,B.,Maury,W.,Bruckner,D.A.,Grose,C.	2016-06-10T00:00:00Z								Human alphaherpesvirus 3		10335
AH010254.2			PARTIAL	7														true					VZV-Iceland			15866				7		2001-02-03T00:00:00Z		GenBank		University of Iowa, Department of Microbiology	USA	Faga,B.,Maury,W.,Bruckner,D.A.,Grose,C.	2016-06-10T00:00:00Z								Human alphaherpesvirus 3		10335
AH010255.2			PARTIAL	9														true					VZV-VIA			18147				9		2001-02-03T00:00:00Z		GenBank		University of Iowa, Department of Microbiology	USA	Grose,C.,Faga,B.	2016-06-10T00:00:00Z								Human alphaherpesvirus 3		10335
AH010537.2			PARTIAL	13														true					VZV-32			25216				13		2001-03-15T00:00:00Z		GenBank		University of Iowa, Department of Microbiology	USA	Faga,B.,Maury,W.,Bruckner,D.A.,Grose,C.,Cole,N.L.,Faga,B.P.	2016-06-10T00:00:00Z								Human herpesvirus 3 VZV-32		154633
AH010548.2			PARTIAL	9														true					VZV-Oka			18156				9		2001-03-21T00:00:00Z		GenBank		University of Iowa, Department of Microbiology	USA	Faga,B.,Maury,W.,Bruckner,D.A.,Grose,C.	2016-06-10T00:00:00Z								Human alphaherpesvirus 3		10335
AH010549.2			PARTIAL	9														true					VZV-LAX2			18223				9		2001-03-21T00:00:00Z		GenBank		University of Iowa, Department of Microbiology	USA	Faga,B.,Maury,W.,Bruckner,D.A.,Grose,C.	2016-06-10T00:00:00Z								Human alphaherpesvirus 3		10335
AH010550.2			PARTIAL	8														true					VZV-80-2			16469				8		2001-03-21T00:00:00Z		GenBank		University of Iowa, Department of Microbiology	USA	Faga,B.,Maury,W.,Bruckner,D.A.,Grose,C.,Maresova,L.,Pasieka,T.,Wagenaar,T.,Jackson,W.	2016-06-10T00:00:00Z								Human alphaherpesvirus 3		10335
AH010551.2			PARTIAL	9														true					VZV-LAX1			18196				9		2001-03-21T00:00:00Z		GenBank		University of Iowa, Department of Microbiology	USA	Faga,B.,Maury,W.,Bruckner,D.A.,Grose,C.	2016-06-10T00:00:00Z								Human alphaherpesvirus 3		10335
AJ871403.1			COMPLETE	71	Germany:Erlangen	Europe												true					HJO			124928				72		2005-12-17T00:00:00Z		GenBank		Fickenscher H., Department of Virology, University of Heidelberg Medical School, Im Neuenheimer Feld 324, D-69120	Germany	Fickenscher,H.	2006-01-11T00:00:00Z								Human alphaherpesvirus 3		10335
AX164127.1			PARTIAL	1														true								1530				1		2001-06-22T00:00:00Z		GenBank				Stein-Gerlach,M.,Mett,H.,Marschall,M.,Stamminger,T.	2001-06-22T00:00:00Z								Human alphaherpesvirus 3		10335
AX429406.1			PARTIAL																							148						2002-06-21T00:00:00Z		GenBank				Reynolds,T.R.	2002-06-21T00:00:00Z								Human alphaherpesvirus 3		10335
AX587051.1			PARTIAL																							15						2003-01-10T00:00:00Z		GenBank				Roetger,A.	2003-01-10T00:00:00Z								Human alphaherpesvirus 3		10335
AY114172.2			PARTIAL	1														true								234				1		2002-07-10T00:00:00Z		GenBank		Chulalongkorn University, Pediatric	Thailand	Sakulwira,K.,Vanapongtipagorn,P.,Theamboonlers,A.,Poovorawan,Y.	2016-07-25T00:00:00Z								Human alphaherpesvirus 3		10335
AY253673.1			PARTIAL	1														true					376VZV			2607				1		2003-05-12T00:00:00Z		GenBank		University of Iowa, Department of Pediatrics	USA	Wagenaar,T.R.,Chow,V.T.,Buranathai,C.,Thawatsupha,P.,Grose,C.	2016-07-25T00:00:00Z								Human alphaherpesvirus 3		10335
AY253674.1			PARTIAL	1														true					376VZV			1872				1		2003-05-12T00:00:00Z		GenBank		University of Iowa, Department of Pediatrics	USA	Wagenaar,T.R.,Chow,V.T.,Buranathai,C.,Thawatsupha,P.,Grose,C.	2016-07-25T00:00:00Z								Human alphaherpesvirus 3		10335
AY253675.1			PARTIAL	1														true					376VZV			2526				1		2003-05-12T00:00:00Z		GenBank		University of Iowa, Department of Pediatrics	USA	Wagenaar,T.R.,Chow,V.T.,Buranathai,C.,Thawatsupha,P.,Grose,C.	2016-07-25T00:00:00Z								Human alphaherpesvirus 3		10335
AY253676.1			PARTIAL	1														true					376VZV			1065				1		2003-05-12T00:00:00Z		GenBank		University of Iowa, Department of Pediatrics	USA	Wagenaar,T.R.,Chow,V.T.,Buranathai,C.,Thawatsupha,P.,Grose,C.	2016-07-25T00:00:00Z								Human alphaherpesvirus 3		10335
AY253677.1			PARTIAL	40														true					376VZV			906						2003-05-12T00:00:00Z		GenBank		University of Iowa, Department of Pediatrics	USA	Wagenaar,T.R.,Chow,V.T.,Buranathai,C.,Thawatsupha,P.,Grose,C.	2016-07-25T00:00:00Z								Human alphaherpesvirus 3		10335
AY253678.1			PARTIAL	1														true					376VZV			3933				1		2003-05-12T00:00:00Z		GenBank		University of Iowa, Department of Pediatrics	USA	Wagenaar,T.R.,Chow,V.T.,Buranathai,C.,Thawatsupha,P.,Grose,C.	2016-07-25T00:00:00Z								Human alphaherpesvirus 3		10335
AY253679.1			PARTIAL	1														true					529VZV			2607				1		2003-05-12T00:00:00Z		GenBank		University of Iowa, Department of Pediatrics	USA	Wagenaar,T.R.,Chow,V.T.,Buranathai,C.,Thawatsupha,P.,Grose,C.	2016-07-25T00:00:00Z								Human alphaherpesvirus 3		10335
AY253680.1			PARTIAL	1														true					529VZV			1872				1		2003-05-12T00:00:00Z		GenBank		University of Iowa, Department of Pediatrics	USA	Wagenaar,T.R.,Chow,V.T.,Buranathai,C.,Thawatsupha,P.,Grose,C.	2016-07-25T00:00:00Z								Human alphaherpesvirus 3		10335
AY253681.1			PARTIAL	1														true					529VZV			2526				1		2003-05-12T00:00:00Z		GenBank		University of Iowa, Department of Pediatrics	USA	Wagenaar,T.R.,Chow,V.T.,Buranathai,C.,Thawatsupha,P.,Grose,C.	2016-07-25T00:00:00Z								Human alphaherpesvirus 3		10335
AY253682.1			PARTIAL	1														true					529VZV			1065				1		2003-05-12T00:00:00Z		GenBank		University of Iowa, Department of Pediatrics	USA	Wagenaar,T.R.,Chow,V.T.,Buranathai,C.,Thawatsupha,P.,Grose,C.	2016-07-25T00:00:00Z								Human alphaherpesvirus 3		10335
AY253683.1			PARTIAL	40														true					529VZV			906						2003-05-12T00:00:00Z		GenBank		University of Iowa, Department of Pediatrics	USA	Wagenaar,T.R.,Chow,V.T.,Buranathai,C.,Thawatsupha,P.,Grose,C.	2016-07-25T00:00:00Z								Human alphaherpesvirus 3		10335
AY253684.1			PARTIAL	1														true					529VZV			3933				1		2003-05-12T00:00:00Z		GenBank		University of Iowa, Department of Pediatrics	USA	Wagenaar,T.R.,Chow,V.T.,Buranathai,C.,Thawatsupha,P.,Grose,C.	2016-07-25T00:00:00Z								Human alphaherpesvirus 3		10335
AY253685.1			PARTIAL	1														true					681VZV			2607				1		2003-05-12T00:00:00Z		GenBank		University of Iowa, Department of Pediatrics	USA	Wagenaar,T.R.,Chow,V.T.,Buranathai,C.,Thawatsupha,P.,Grose,C.	2016-07-25T00:00:00Z								Human alphaherpesvirus 3		10335
AY253686.1			PARTIAL	1														true					681VZV			1872				1		2003-05-12T00:00:00Z		GenBank		University of Iowa, Department of Pediatrics	USA	Wagenaar,T.R.,Chow,V.T.,Buranathai,C.,Thawatsupha,P.,Grose,C.	2016-07-25T00:00:00Z								Human alphaherpesvirus 3		10335
AY253687.1			PARTIAL	1														true					681VZV			2526				1		2003-05-12T00:00:00Z		GenBank		University of Iowa, Department of Pediatrics	USA	Wagenaar,T.R.,Chow,V.T.,Buranathai,C.,Thawatsupha,P.,Grose,C.	2016-07-25T00:00:00Z								Human alphaherpesvirus 3		10335
AY253688.1			PARTIAL	1														true					681VZV			1065				1		2003-05-12T00:00:00Z		GenBank		University of Iowa, Department of Pediatrics	USA	Wagenaar,T.R.,Chow,V.T.,Buranathai,C.,Thawatsupha,P.,Grose,C.	2016-07-25T00:00:00Z								Human alphaherpesvirus 3		10335
AY253689.1			PARTIAL	40														true					681VZV			906						2003-05-12T00:00:00Z		GenBank		University of Iowa, Department of Pediatrics	USA	Wagenaar,T.R.,Chow,V.T.,Buranathai,C.,Thawatsupha,P.,Grose,C.	2016-07-25T00:00:00Z								Human alphaherpesvirus 3		10335
AY253690.1			PARTIAL	1														true					681VZV			3933				1		2003-05-12T00:00:00Z		GenBank		University of Iowa, Department of Pediatrics	USA	Wagenaar,T.R.,Chow,V.T.,Buranathai,C.,Thawatsupha,P.,Grose,C.	2016-07-25T00:00:00Z								Human alphaherpesvirus 3		10335
AY253691.1			PARTIAL	1														true					1242VZV			2607				1		2003-05-12T00:00:00Z		GenBank		University of Iowa, Department of Pediatrics	USA	Wagenaar,T.R.,Chow,V.T.,Buranathai,C.,Thawatsupha,P.,Grose,C.	2016-07-25T00:00:00Z								Human alphaherpesvirus 3		10335
AY253692.1			PARTIAL	1														true					1242VZV			1872				1		2003-05-12T00:00:00Z		GenBank		University of Iowa, Department of Pediatrics	USA	Wagenaar,T.R.,Chow,V.T.,Buranathai,C.,Thawatsupha,P.,Grose,C.	2016-07-25T00:00:00Z								Human alphaherpesvirus 3		10335
AY253693.1			PARTIAL	1														true					1242VZV			2526				1		2003-05-12T00:00:00Z		GenBank		University of Iowa, Department of Pediatrics	USA	Wagenaar,T.R.,Chow,V.T.,Buranathai,C.,Thawatsupha,P.,Grose,C.	2016-07-25T00:00:00Z								Human alphaherpesvirus 3		10335
AY253694.1			PARTIAL	1														true					1242VZV			1065				1		2003-05-12T00:00:00Z		GenBank		University of Iowa, Department of Pediatrics	USA	Wagenaar,T.R.,Chow,V.T.,Buranathai,C.,Thawatsupha,P.,Grose,C.	2016-07-25T00:00:00Z								Human alphaherpesvirus 3		10335
AY253695.1			PARTIAL	40														true					1242VZV			906						2003-05-12T00:00:00Z		GenBank		University of Iowa, Department of Pediatrics	USA	Wagenaar,T.R.,Chow,V.T.,Buranathai,C.,Thawatsupha,P.,Grose,C.	2016-07-25T00:00:00Z								Human alphaherpesvirus 3		10335
AY253696.1			PARTIAL	1														true					1242VZV			3918				1		2003-05-12T00:00:00Z		GenBank		University of Iowa, Department of Pediatrics	USA	Wagenaar,T.R.,Chow,V.T.,Buranathai,C.,Thawatsupha,P.,Grose,C.	2016-07-25T00:00:00Z								Human alphaherpesvirus 3		10335
AY253697.1			PARTIAL	1														true					1419VZV			2607				1		2003-05-12T00:00:00Z		GenBank		University of Iowa, Department of Pediatrics	USA	Wagenaar,T.R.,Chow,V.T.,Buranathai,C.,Thawatsupha,P.,Grose,C.	2016-07-25T00:00:00Z								Human alphaherpesvirus 3		10335
AY253698.1			PARTIAL	1														true					1419VZV			1872				1		2003-05-12T00:00:00Z		GenBank		University of Iowa, Department of Pediatrics	USA	Wagenaar,T.R.,Chow,V.T.,Buranathai,C.,Thawatsupha,P.,Grose,C.	2016-07-25T00:00:00Z								Human alphaherpesvirus 3		10335
AY253699.1			PARTIAL	1														true					1419VZV			2526				1		2003-05-12T00:00:00Z		GenBank		University of Iowa, Department of Pediatrics	USA	Wagenaar,T.R.,Chow,V.T.,Buranathai,C.,Thawatsupha,P.,Grose,C.	2016-07-25T00:00:00Z								Human alphaherpesvirus 3		10335
AY253700.1			PARTIAL	1														true					1419VZV			1065				1		2003-05-12T00:00:00Z		GenBank		University of Iowa, Department of Pediatrics	USA	Wagenaar,T.R.,Chow,V.T.,Buranathai,C.,Thawatsupha,P.,Grose,C.	2016-07-25T00:00:00Z								Human alphaherpesvirus 3		10335
AY253701.1			PARTIAL	40														true					1419VZV			906						2003-05-12T00:00:00Z		GenBank		University of Iowa, Department of Pediatrics	USA	Wagenaar,T.R.,Chow,V.T.,Buranathai,C.,Thawatsupha,P.,Grose,C.	2016-07-25T00:00:00Z								Human alphaherpesvirus 3		10335
AY253702.1			PARTIAL	1														true					1419VZV			3933				1		2003-05-12T00:00:00Z		GenBank		University of Iowa, Department of Pediatrics	USA	Wagenaar,T.R.,Chow,V.T.,Buranathai,C.,Thawatsupha,P.,Grose,C.	2016-07-25T00:00:00Z								Human alphaherpesvirus 3		10335
AY253703.1			PARTIAL	1														true					V8VZV			2607				1		2003-05-12T00:00:00Z		GenBank		University of Iowa, Department of Pediatrics	USA	Wagenaar,T.R.,Chow,V.T.,Buranathai,C.,Thawatsupha,P.,Grose,C.	2016-07-25T00:00:00Z								Human alphaherpesvirus 3		10335
AY253704.1			PARTIAL	1														true					V8VZV			1872				1		2003-05-12T00:00:00Z		GenBank		University of Iowa, Department of Pediatrics	USA	Wagenaar,T.R.,Chow,V.T.,Buranathai,C.,Thawatsupha,P.,Grose,C.	2016-07-25T00:00:00Z								Human alphaherpesvirus 3		10335
AY253705.1			PARTIAL	1														true					V8VZV			2526				1		2003-05-12T00:00:00Z		GenBank		University of Iowa, Department of Pediatrics	USA	Wagenaar,T.R.,Chow,V.T.,Buranathai,C.,Thawatsupha,P.,Grose,C.	2016-07-25T00:00:00Z								Human alphaherpesvirus 3		10335
AY253706.1			PARTIAL	1														true					V8VZV			1065				1		2003-05-12T00:00:00Z		GenBank		University of Iowa, Department of Pediatrics	USA	Wagenaar,T.R.,Chow,V.T.,Buranathai,C.,Thawatsupha,P.,Grose,C.	2016-07-25T00:00:00Z								Human alphaherpesvirus 3		10335
AY253707.1			PARTIAL	40														true					V8VZV			906						2003-05-12T00:00:00Z		GenBank		University of Iowa, Department of Pediatrics	USA	Wagenaar,T.R.,Chow,V.T.,Buranathai,C.,Thawatsupha,P.,Grose,C.	2016-07-25T00:00:00Z								Human alphaherpesvirus 3		10335
AY253708.1			PARTIAL	1														true					V8VZV			3900				1		2003-05-12T00:00:00Z		GenBank		University of Iowa, Department of Pediatrics	USA	Wagenaar,T.R.,Chow,V.T.,Buranathai,C.,Thawatsupha,P.,Grose,C.	2016-07-25T00:00:00Z								Human alphaherpesvirus 3		10335
AY253709.1			PARTIAL	1														true					Z24VZV			2607				1		2003-05-12T00:00:00Z		GenBank		University of Iowa, Department of Pediatrics	USA	Wagenaar,T.R.,Chow,V.T.,Buranathai,C.,Thawatsupha,P.,Grose,C.	2016-07-25T00:00:00Z								Human alphaherpesvirus 3		10335
AY253710.1			PARTIAL	1														true					Z24VZV			1872				1		2003-05-12T00:00:00Z		GenBank		University of Iowa, Department of Pediatrics	USA	Wagenaar,T.R.,Chow,V.T.,Buranathai,C.,Thawatsupha,P.,Grose,C.	2016-07-25T00:00:00Z								Human alphaherpesvirus 3		10335
AY253711.1			PARTIAL	1														true					Z24VZV			2526				1		2003-05-12T00:00:00Z		GenBank		University of Iowa, Department of Pediatrics	USA	Wagenaar,T.R.,Chow,V.T.,Buranathai,C.,Thawatsupha,P.,Grose,C.	2016-07-25T00:00:00Z								Human alphaherpesvirus 3		10335
AY253712.1			PARTIAL	1														true					Z24VZV			1065				1		2003-05-12T00:00:00Z		GenBank		University of Iowa, Department of Pediatrics	USA	Wagenaar,T.R.,Chow,V.T.,Buranathai,C.,Thawatsupha,P.,Grose,C.	2016-07-25T00:00:00Z								Human alphaherpesvirus 3		10335
